date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,name
2024-09-30,688347,33.71,37.76,38.3,33.33,206086,740277666.0,15.37,16.8,5.43,5.26,华虹公司
2024-10-08,688347,45.31,45.31,45.31,43.33,347111,1566872771.0,5.24,19.99,7.55,8.87,华虹公司
2024-10-09,688347,43.68,45.7,50.04,42.08,567896,2662622373.0,17.57,0.86,0.39,14.51,华虹公司
2024-10-10,688347,45.65,42.4,45.99,40.7,296687,1276301430.0,11.58,-7.22,-3.3,7.58,华虹公司
2024-10-11,688347,41.05,39.13,42.1,38.5,182107,727594539.0,8.49,-7.71,-3.27,4.65,华虹公司
2024-10-14,688347,39.29,39.81,40.25,37.64,195561,764354632.0,6.67,1.74,0.68,5.0,华虹公司
2024-10-15,688347,39.79,39.23,41.49,39.21,173550,700639499.0,5.73,-1.46,-0.58,4.43,华虹公司
2024-10-16,688347,38.0,38.71,39.68,37.68,100833,391217632.0,5.1,-1.33,-0.52,2.58,华虹公司
2024-10-17,688347,39.39,38.26,39.58,38.2,102253,398498007.0,3.56,-1.16,-0.45,2.61,华虹公司
2024-10-18,688347,38.84,43.08,44.8,38.37,322499,1348499343.0,16.81,12.6,4.82,8.24,华虹公司
2024-10-21,688347,43.99,44.42,49.24,43.37,419855,1911736265.0,13.63,3.11,1.34,10.73,华虹公司
2024-10-22,688347,44.01,46.55,48.15,43.32,320724,1443219391.0,10.87,4.8,2.13,8.19,华虹公司
2024-10-23,688347,45.8,44.55,46.41,44.3,223835,1017459326.0,4.53,-4.3,-2.0,5.72,华虹公司
2024-10-24,688347,43.7,44.09,45.35,43.68,149233,662834328.0,3.75,-1.03,-0.46,3.81,华虹公司
2024-10-25,688347,44.19,45.13,46.59,44.13,171458,775682013.0,5.58,2.36,1.04,4.38,华虹公司
2024-10-28,688347,44.9,44.49,45.5,44.2,120138,536692205.0,2.88,-1.42,-0.64,3.07,华虹公司
2024-10-29,688347,44.55,43.6,45.37,43.58,153204,680641050.0,4.02,-2.0,-0.89,3.91,华虹公司
2024-10-30,688347,43.28,42.16,43.41,41.3,176600,746899046.0,4.84,-3.3,-1.44,4.51,华虹公司
2024-10-31,688347,42.03,42.95,43.55,41.73,124381,533375582.0,4.32,1.87,0.79,3.18,华虹公司
2024-11-01,688347,42.8,41.22,43.6,41.2,121341,510440408.0,5.59,-4.03,-1.73,3.1,华虹公司
2024-11-04,688347,41.31,41.88,41.95,41.03,73821,306359426.0,2.23,1.6,0.66,1.89,华虹公司
2024-11-05,688347,41.81,44.19,44.43,41.67,178621,779234658.0,6.59,5.52,2.31,4.56,华虹公司
2024-11-06,688347,44.39,44.2,45.8,43.54,178070,792101205.0,5.11,0.02,0.01,4.55,华虹公司
2024-11-07,688347,44.14,45.47,45.75,43.54,172359,772494976.0,5.0,2.87,1.27,4.4,华虹公司
2024-11-08,688347,47.31,46.96,48.93,45.9,266289,1265803185.0,6.66,3.28,1.49,6.8,华虹公司
2024-11-11,688347,49.38,54.0,56.0,49.38,465451,2481818796.0,14.1,14.99,7.04,11.89,华虹公司
2024-11-12,688347,54.0,54.5,55.55,52.0,400044,2161808064.0,6.57,0.93,0.5,10.22,华虹公司
2024-11-13,688347,53.0,54.76,57.17,52.32,360867,1975050791.0,8.9,0.48,0.26,9.22,华虹公司
2024-11-14,688347,53.4,50.77,54.39,50.11,296347,1548575261.0,7.82,-7.29,-3.99,7.57,华虹公司
2024-11-15,688347,50.01,48.16,51.1,47.86,227890,1126007210.0,6.38,-5.14,-2.61,5.82,华虹公司
2024-11-18,688347,48.16,46.93,48.66,46.21,173327,821117717.0,5.09,-2.55,-1.23,4.43,华虹公司
2024-11-19,688347,47.09,48.58,48.58,46.38,165860,787813708.0,4.69,3.52,1.65,4.24,华虹公司
2024-11-20,688347,48.12,48.22,48.71,47.28,147456,707006729.0,2.94,-0.74,-0.36,3.77,华虹公司
2024-11-21,688347,47.7,48.64,49.85,47.7,149588,730453867.0,4.46,0.87,0.42,3.82,华虹公司
2024-11-22,688347,51.8,48.87,53.78,48.8,328259,1686504682.0,10.24,0.47,0.23,8.39,华虹公司
2024-11-25,688347,48.78,46.89,48.78,45.76,190706,894663468.0,6.18,-4.05,-1.98,4.87,华虹公司
2024-11-26,688347,46.63,45.39,47.38,45.35,132046,611858453.0,4.33,-3.2,-1.5,3.37,华虹公司
2024-11-27,688347,45.0,47.12,47.22,43.88,159905,733326847.0,7.36,3.81,1.73,4.09,华虹公司
2024-11-28,688347,47.02,46.72,48.28,46.45,133043,626474756.0,3.88,-0.85,-0.4,3.4,华虹公司
2024-11-29,688347,46.51,48.28,49.25,45.99,173546,829973663.0,6.98,3.34,1.56,4.43,华虹公司
2024-12-02,688347,48.72,48.98,49.63,48.36,138091,677198462.0,2.63,1.45,0.7,3.53,华虹公司
2024-12-03,688347,49.38,48.97,49.8,47.92,118358,576858093.0,3.84,-0.02,-0.01,3.02,华虹公司
2024-12-04,688347,50.66,48.8,51.05,48.61,213604,1072820404.0,4.98,-0.35,-0.17,5.46,华虹公司
2024-12-05,688347,48.01,49.9,50.12,47.9,133727,660086805.0,4.55,2.25,1.1,3.42,华虹公司
2024-12-06,688347,49.49,50.34,50.92,49.28,130392,655281829.0,3.29,0.88,0.44,3.33,华虹公司
2024-12-09,688347,50.33,49.44,50.34,48.4,115903,572241200.0,3.85,-1.79,-0.9,2.96,华虹公司
2024-12-10,688347,52.08,49.35,52.19,49.35,141290,712322246.0,5.74,-0.18,-0.09,3.61,华虹公司
2024-12-11,688347,50.0,49.17,50.6,48.8,126909,629445050.0,3.65,-0.36,-0.18,3.24,华虹公司
2024-12-12,688347,49.19,50.01,50.28,48.38,156755,775699943.0,3.86,1.71,0.84,4.0,华虹公司
2024-12-13,688347,49.5,50.62,51.9,49.3,306632,1551351559.0,5.2,1.22,0.61,7.83,华虹公司
2024-12-16,688347,50.49,48.4,50.49,47.55,159077,775639391.0,5.81,-4.39,-2.22,4.06,华虹公司
2024-12-17,688347,47.8,46.99,48.29,46.91,100850,478825485.0,2.85,-2.91,-1.41,2.58,华虹公司
2024-12-18,688347,47.39,47.54,47.99,46.75,74218,352120959.0,2.64,1.17,0.55,1.9,华虹公司
2024-12-19,688347,46.99,47.22,48.06,46.4,94581,446650620.0,3.49,-0.67,-0.32,2.42,华虹公司
