date,open,close,high,low,volume,amount
2023-08-07,58.73,52.91,59.73,52.15,628450,3436275242.0
2023-08-08,51.25,53.24,54.01,50.86,316950,1669754377.0
2023-08-09,52.72,52.83,53.38,51.71,223024,1172289206.0
2023-08-10,52.26,53.02,55.08,52.07,281236,1522027164.0
2023-08-11,51.97,50.65,52.23,50.6,216916,1116413682.0
2023-08-14,49.72,48.75,49.84,47.65,163307,797313221.0
2023-08-15,48.55,48.3,48.78,47.88,79395,384474466.0
2023-08-16,48.23,48.38,49.3,47.88,73863,360025792.0
2023-08-17,47.87,48.88,49.03,47.86,81378,396250788.0
2023-08-18,49.35,48.71,50.59,48.71,129811,649059299.0
2023-08-21,48.55,47.33,48.91,47.26,102836,495799790.0
2023-08-22,47.74,46.33,47.74,45.22,157857,731123377.0
2023-08-23,45.96,44.74,45.96,44.73,74379,338350975.0
2023-08-24,44.95,45.55,46.18,44.83,84457,386945475.0
2023-08-25,45.05,43.68,45.05,43.3,96202,424271311.0
2023-08-28,46.62,44.18,46.64,43.95,118035,539178913.0
2023-08-29,44.24,49.31,49.61,44.19,232918,1113941255.0
2023-08-30,50.9,50.98,52.64,49.96,270057,1392649296.0
2023-08-31,50.49,51.95,53.28,50.4,201067,1048569012.0
2023-09-01,51.75,51.05,52.55,50.26,116825,597399336.0
2023-09-04,51.1,51.49,51.49,50.35,93391,476633271.0
2023-09-05,51.65,50.01,52.01,49.45,149423,757749290.0
2023-09-06,49.95,51.35,51.7,49.46,142730,724275996.0
2023-09-07,50.85,48.55,50.88,48.55,114560,569913409.0
2023-09-08,48.5,48.79,49.31,48.41,57875,283326234.0
2023-09-11,48.47,48.8,49.4,48.25,57494,281571639.0
2023-09-12,48.75,48.09,48.75,47.66,58641,283332328.0
2023-09-13,47.99,46.97,48.03,46.44,60643,286581087.0
2023-09-14,47.0,46.13,47.03,45.98,44224,205649803.0
2023-09-15,46.22,46.4,47.32,45.68,62967,294534595.0
2023-09-18,46.02,46.4,46.98,45.51,47246,220120676.0
2023-09-19,46.32,45.86,46.45,45.67,36956,170500914.0
2023-09-20,45.94,45.23,46.35,45.23,39343,180854740.0
2023-09-21,45.29,45.55,46.0,45.29,37748,172980759.0
2023-09-22,45.4,47.22,47.33,45.26,73249,341438095.0
2023-09-25,46.95,46.42,46.95,46.2,44987,209970249.0
2023-09-26,46.42,46.26,46.78,46.19,29016,135213374.0
2023-09-27,46.26,46.29,46.75,46.08,33556,156249878.0
2023-09-28,46.36,45.85,46.5,45.66,54539,252316098.0
2023-10-09,45.85,45.53,45.85,45.11,33226,151349790.0
2023-10-10,45.47,45.75,46.4,45.47,35925,165656957.0
2023-10-11,45.85,46.95,47.18,45.73,63066,293937889.0
2023-10-12,46.95,46.67,46.95,46.1,54920,256171604.0
2023-10-13,46.25,46.66,47.42,46.16,60422,284315961.0
2023-10-16,46.89,44.85,47.05,44.53,66921,305204336.0
2023-10-17,45.03,47.05,47.3,44.81,94493,440763522.0
2023-10-18,46.85,45.66,47.54,45.65,61161,284449021.0
2023-10-19,45.15,46.54,47.76,45.06,102864,484142680.0
2023-10-20,46.4,45.55,46.61,45.33,74410,341705312.0
2023-10-23,45.1,43.73,45.28,43.6,61578,272279833.0
2023-10-24,43.87,44.16,44.65,43.45,41161,181911716.0
2023-10-25,44.41,44.03,44.93,43.75,51982,231121938.0
2023-10-26,43.44,43.09,43.54,42.3,69179,297957643.0
2023-10-27,42.85,44.37,44.58,42.7,64659,284981697.0
2023-10-30,44.35,45.83,45.91,43.96,65873,299561508.0
2023-10-31,45.6,45.17,45.98,44.98,43967,200030416.0
2023-11-01,45.21,45.14,46.03,45.11,47439,216743317.0
2023-11-02,45.4,44.84,45.97,44.82,41954,190934302.0
2023-11-03,45.1,46.38,46.6,44.9,75663,348498996.0
2023-11-06,46.61,46.81,47.3,46.6,66188,311632207.0
2023-11-07,46.45,46.75,46.97,46.29,47716,223187904.0
2023-11-08,46.64,46.59,47.17,46.23,62261,291743131.0
2023-11-09,46.35,46.23,46.83,45.95,43215,200756832.0
2023-11-10,44.34,43.83,44.93,43.3,113452,501049450.0
2023-11-13,43.86,44.08,44.65,43.83,55785,247483362.0
2023-11-14,44.11,45.06,45.41,43.89,74866,337359150.0
2023-11-15,45.62,45.25,46.01,45.12,55131,251663023.0
2023-11-16,45.2,44.1,45.2,44.05,55396,246853838.0
2023-11-17,44.04,44.17,44.34,43.8,33845,149548055.0
2023-11-20,44.18,44.11,44.33,43.73,40689,179738027.0
2023-11-21,44.28,43.5,44.29,43.43,51096,224658959.0
2023-11-22,43.51,42.86,43.6,42.85,41035,177309346.0
2023-11-23,42.86,43.33,43.33,42.6,28969,125098332.0
2023-11-24,43.18,42.7,43.32,42.57,31751,136299066.0
2023-11-27,42.57,42.88,43.03,42.44,25432,109036378.0
2023-11-28,42.91,43.0,43.17,42.68,22437,96714152.0
2023-11-29,43.11,42.63,43.26,42.61,24057,103490418.0
2023-11-30,42.62,42.41,42.75,42.26,27138,115526455.0
2023-12-01,42.36,42.82,42.83,42.27,22097,94362140.0
2023-12-04,43.15,43.15,43.25,42.91,26655,115240226.0
2023-12-05,43.15,43.27,44.41,43.05,56257,246777037.0
2023-12-06,43.27,42.84,43.55,42.81,40566,175280911.0
2023-12-07,42.65,42.9,43.04,42.52,26234,112611925.0
2023-12-08,42.98,43.33,43.45,42.95,27907,121069562.0
2023-12-11,43.33,43.52,43.53,42.61,27173,117677120.0
2023-12-12,43.53,43.23,43.55,43.04,23294,101033041.0
2023-12-13,43.15,42.66,43.18,42.63,20130,86561640.0
2023-12-14,43.27,44.52,45.31,43.27,127483,569027464.0
2023-12-15,44.52,44.74,44.79,43.74,72065,320977693.0
2023-12-18,44.4,43.32,44.44,43.15,45030,197650235.0
2023-12-19,43.22,42.96,43.37,42.73,30769,132608906.0
2023-12-20,42.94,42.76,43.27,42.73,19808,85451164.0
2023-12-21,42.55,43.06,43.32,42.36,22578,97129848.0
2023-12-22,43.08,42.75,43.2,42.74,20349,87572132.0
2023-12-25,42.75,42.63,43.08,42.37,16844,72124522.0
2023-12-26,42.56,41.45,42.57,41.45,30389,127794524.0
2023-12-27,41.35,41.32,41.51,40.24,27668,113539821.0
2023-12-28,41.08,42.21,42.41,41.08,26606,112095379.0
2023-12-29,42.17,42.62,42.8,42.1,23499,100380944.0
2024-01-02,42.65,41.94,42.7,41.85,20518,86677015.0
2024-01-03,41.84,41.47,42.2,41.32,15241,63761244.0
2024-01-04,41.58,40.99,41.59,40.85,13856,57167807.0
2024-01-05,40.97,40.92,41.34,40.68,20351,83847960.0
2024-01-08,40.81,39.67,40.81,39.62,22495,90589300.0
2024-01-09,39.84,40.09,40.18,39.55,16043,64291160.0
2024-01-10,39.85,39.41,40.05,39.33,12842,51088066.0
2024-01-11,39.41,39.86,40.1,39.3,15120,60272119.0
2024-01-12,39.75,39.57,39.98,39.57,11763,46917957.0
2024-01-15,39.47,39.01,39.73,38.61,21339,83932285.0
2024-01-16,38.86,38.68,39.14,38.17,20099,77828831.0
2024-01-17,38.57,37.21,38.67,37.17,25054,95047363.0
2024-01-18,37.05,37.72,37.77,36.63,25063,93384219.0
2024-01-19,37.69,37.02,38.09,36.97,19632,74088563.0
2024-01-22,37.21,35.12,37.23,34.76,28410,102244455.0
2024-01-23,35.12,35.64,35.94,34.85,18076,64513990.0
2024-01-24,35.83,35.8,35.95,34.44,26444,93559525.0
2024-01-25,35.8,37.15,37.21,35.27,30671,112637502.0
2024-01-26,36.85,36.69,37.33,36.58,19842,73540741.0
2024-01-29,37.65,36.91,38.43,36.78,31643,119634049.0
2024-01-30,36.47,34.86,36.47,34.78,26693,95632521.0
2024-01-31,34.46,33.24,34.99,33.13,36502,123861876.0
2024-02-01,33.1,33.26,34.07,32.55,26918,90166073.0
2024-02-02,33.35,31.9,33.68,31.25,28946,94158672.0
2024-02-05,31.52,30.48,32.17,29.35,43373,133778437.0
2024-02-06,29.88,33.01,33.51,29.83,42096,134775703.0
2024-02-07,32.34,29.33,32.34,27.75,404774,1207285285.0
2024-02-08,28.84,30.36,30.83,28.56,240555,724514581.0
2024-02-19,30.95,30.49,31.11,29.72,260746,795286415.0
2024-02-20,30.35,30.04,30.35,29.62,164212,493250249.0
2024-02-21,29.95,30.58,31.33,29.76,212065,653638122.0
2024-02-22,30.54,31.6,31.6,30.4,198890,621521073.0
